33
35 260 500
214 396 500
401 309 500
62 110 500
438 61 500
110 332 136 false
254 327 249 false
268 402 256 false
86 334 509 false
354 213 520 false
108 486 719 false
149 307 812 false
205 413 843 false
227 107 909 false
435 470 1133 false
90 385 1138 false
378 117 1167 false
59 75 1168 false
443 140 1179 false
87 127 1198 false
322 261 1209 false
244 184 1248 false
350 452 1304 false
137 121 1385 false
184 425 1489 false
101 442 1570 false
82 140 1570 false
169 76 1580 false
396 22 1587 false
260 445 1605 false
225 438 1612 false
41 31 1643 false
431 358 1675 false
304 148 1701 false
386 174 1705 false
434 129 1717 false
310 373 1726 false
249 14 1798 false
32 334 1799 false
189 224 1824 false
25 224 1857 false
30 446 1866 false
120 321 1877 false
205 281 1881 false
251 301 1899 false
205 101 1912 false
119 363 1920 false
436 411 1927 false
386 159 1930 false
264 137 1937 false
460 461 1945 false
191 106 1949 false
144 159 1950 false
50 284 2001 false
380 435 2006 false
289 37 2009 false
418 295 2013 false
437 25 2016 false
41 48 2043 false
43 385 2053 false
257 319 2058 false
270 15 2089 false
470 260 2097 false
49 241 2116 false
286 404 2118 false
184 149 2131 false
455 244 2138 false
484 301 2150 false
295 363 2151 false
205 477 2158 false
151 282 2160 false
77 278 2161 false
375 361 2162 false
461 228 2164 false
367 397 2170 false
37 269 2175 false
145 82 2181 false
97 222 2181 false
398 420 2193 false
91 86 2203 false
309 306 2206 false
225 260 2215 false
165 444 2217 false
170 142 2230 false
193 112 2235 false
414 458 2270 false
268 199 2279 false
217 403 2301 false
45 90 2308 false
112 59 2309 false
401 284 2326 false
1 478 2337 false
115 220 2344 false
9 370 2349 false
406 219 2379 false
433 96 2391 false
461 25 2403 false
401 278 2409 false
370 226 2415 false
387 449 2416 false
392 391 2434 false
316 163 2440 false
289 363 2447 false
353 208 2449 false
102 463 2455 false
160 204 2459 false
369 211 2459 false
279 176 2463 false
351 244 2465 false
135 251 2473 false
102 458 2488 false
185 272 2489 false
176 115 2489 false
113 445 2500 false
490 140 2510 false
474 170 2514 false
101 191 2527 false
405 229 2528 false
25 260 2530 false
381 85 2536 false
70 33 2537 false
8 178 2568 false
13 297 2569 false
94 41 2570 false
173 83 2577 false
60 88 2590 false
381 214 2592 false
94 345 2605 false
130 260 2608 false
464 241 2623 false
491 450 2626 false
141 430 2630 false
429 438 2633 false
82 492 2638 false
202 84 2642 false
246 378 2643 false
333 90 2660 false
193 305 2662 false
36 403 2666 false
377 68 2672 false
293 111 2673 false
103 499 2680 false
134 159 2689 false
90 435 2691 false
288 92 2694 false
408 309 2697 false
475 103 2714 false
256 422 2716 false
136 484 2718 false
252 230 2718 false
6 465 2721 false
163 277 2728 false
405 142 2733 false
124 308 2733 false
311 80 2738 false
113 147 2742 false
498 11 2745 false
19 267 2752 false
168 289 2756 false
437 480 2757 false
49 497 2765 false
162 375 2776 false
142 61 2784 false
488 333 2785 false
109 497 2786 false
235 141 2797 false
266 228 2798 false
446 232 2810 false
316 56 2812 false
320 89 2813 false
65 105 2818 false
93 148 2820 false
148 371 2832 false
43 75 2837 false
277 462 2841 false
335 467 2854 false
149 377 2859 false
200 180 2868 false
38 141 2871 false
33 125 2872 false
159 461 2873 false
24 210 2876 false
305 339 2879 false
496 457 2881 false
104 138 2891 false
344 204 2894 false
189 261 2896 false
165 127 2913 false
55 163 2914 false
294 42 2914 false
435 302 2919 false
3 452 2920 false
377 339 2922 false
136 423 2926 false
201 380 2926 false
250 185 2929 false
100 488 2929 false
438 348 2931 false
182 9 2933 false
170 87 2935 false
353 389 2940 false
272 264 2941 false
283 266 2945 false
415 374 2945 false
12 285 2951 false
148 245 2963 false
